ID;Название;Регион;Город;Адрес;Индекс;Телефон;Мобильный телефон;Email;Сайт;Рубрика;Подрубрика;Время работы;Способы оплаты;whatsapp;viber;telegram;vkontakte;odnoklassniki;youtube;Факс;rutube;yandex zen;Кол-во оценок;Рейтинг;Кол-во отзывов;Широта;Долгота
91297168131;Клубный Сервис 333;Москва и Московская область;;СНТ Лесок-Камкино, 20;;;+7 (929) 571-12-22;clubservice333@yandex.ru;https://clubservice333.clients.site/;Автомобили / Автосервис, услуги;Автосервисы;пн-сб 09:00–19:00;предоплата, постоплата, наличными, оплата картой, банковским переводом, онлайн, QR-код, СБП;79295711222;;https://t.me/+79295711222;;;;;;;91;4.9;41;55.475424;37.820304
5892896674;БИП-автомойка;Москва и Московская область;;посёлок Барвиха, 36А;;+7 (495) 108-55-88;+7 (926) 443-07-97;info@bip-auto.ru;https://www.bip-auto.ru/services/avtomoyka;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автомойки, Детейлинг;"пн-пт 07:00–22:30; сб,вс 08:00–22:30";;;;;;;;;;;667;5.0;237;55.719957;37.26987
5909344848;Автомойка;Москва и Московская область;;;;8 (800) 700-60-34, 8 (800) 850-07-52;+7 (999) 500-67-58;biuro@bkf.pl, info@bkfcarwash.ru, info@desite.ru;http://jivo.chat/JdagyK9ZGC, https://bkfcarwash.ru/;Автомобили / Автосервис, услуги;Автомойки;ежедневно, круглосуточно;;;;;https://vk.com/bkfservice;;https://www.youtube.com/channel/UCMRSGI5ap_NLNnWhvlWe97w, https://www.youtube.com/channel/UCMRSGI5ap_NLNnWhvlWe97w?feature=emb_ch_name_ex, https://www.youtube.com/playlist?list=PLZpEnlF1D53CRwu8kNJnofe4uZb7NEcJc, https://www.youtube.com/signin?context=popup&next=https://www.youtube.com/post_login, https://www.youtube.com/watch?v=-0f_-21hbaI, https://www.youtube.com/watch?v=0-R2101px7o, https://www.youtube.com/watch?v=6yeHWXzloBs, https://www.youtube.com/watch?v=h_A5xlqeCdE, https://www.youtube.com/watch?v=r92urbQzogk, https://www.youtube.com/watch?v=Y-Igt_CHHsE, https://youtube.com/c/BKFCarwash;;;;142;3.0;66;55.614047;37.969263
17505264274;Техцентр новорижский;Москва и Московская область;;Московская область, городской округ Красногорск, Новорижское шоссе, 23-й километр, с5;;+7 (495) 785-54-88;;info@li-motors.com;http://technr.ru/, https://li-motors.com/;Автомобили / Автосервис, услуги;Автосервисы;ежедневно, 09:00–21:00;наличными, оплата картой;;;;;;;;;;457;4.8;182;55.804167;37.296353
52748839468;НеоМеталл;Москва и Московская область;;пр. Металлургов, 6, микрорайон Львовский, Подольск;;;+7 (985) 838-88-17;neometall@inbox.ru;http://www.neo-metall.ru/;Автомобили / Автосервис, услуги, Производство и поставки / Металлургия, Услуги / Прочее;Автосервисы, Металлообработка, Нанесение покрытий;ежедневно, 09:00–21:00;;79858388817;;https://t.me/89858388817;;;http://youtube.com/channel/UCsLY5bAB6FhtqpnkQVQTBhw;;;;44;4.1;12;55.327526;37.517213
17509935536;Везём Колеса;Москва и Московская область;;Центральная ул., 40, д. Высоково;;+7 (495) 025-03-29;+7 (968) 565-14-24;info@vezemkolesa.ru;https://vezemkolesa.ru/;Автомобили / Автосервис, услуги;Шиномонтажи;ежедневно, 09:00–21:00;;;;;;;;;;;62;5.0;54;55.907062;36.933353
1364134522;МАДИ-Мотор;Москва и Московская область;;д. Елино, коттеджный посёлок Елино, 15;;+7 (495) 156-31-55;;info@madimotor.ru, parts@madimotor.ru, tech_director@madimotor.ru, yakubovich@madimotor.ru;http://madimotor.ru/;Автомобили / Автосервис, услуги;Автосервисы;пн-пт 09:00–18:00;;;;;;;;;;;529;4.7;120;55.985573;37.29122
90739812078;Грузовой шиномонтаж;Москва и Московская область;;д. Горки, 80;142402;;+7 (903) 140-03-14, +7 (925) 341-91-76;info@spectrans17.ru;https://spectrans17.ru/;Автомобили / Автосервис, услуги;Шиномонтажи;вт-вс 08:00–19:00;скидки на услуги льготным категориям, дисконтная система скидок, предоплата, постоплата, наличными, оплата картой, электронными деньгами, банковским переводом, sms-платеж, наложенным платежом, рассрочка, безналичная, онлайн, QR-код;79253419176;https://viber.click/79253419176;https://t.me/+79253419176;;;;;;;37;3.9;20;55.919238;38.535358
6051861533;MotorSwapCastom;Москва и Московская область;;Московская область, Богородский городской округ, посёлок городского типа имени Воровского, СНТ Радуга;;;+7 (905) 573-76-83, +7 (988) 323-37-99;motorswapcastom@yandex.ru;https://motorswapcastom.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары;Автосервисы, Продажа двигателей, Тюнинг;пн-сб 09:00–18:00;наличными;79055737683;;https://t.me/+79055737683;;;;;;;3;3.8;2;55.735972;38.338969
1007033832;Би-Би;Москва и Московская область;;Большая Тарасовская ул., 111, стр. 5, село Тарасовка;;+7 (495) 241-29-29, +7 (495) 755-99-99, +7 (495) 995-61-59, 8 (800) 250-49-49;+7 (965) 209-64-28;in163@tomail.ru, in195@tomail.ru, in20@tomail.ru, in205@tomail.ru, in25@tomail.ru, shop163@avto49.ru, shop195@avto49.ru, shop20@avto49.ru, shop205@avto49.ru, shop25@avto49.ru;https://bi-bi.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары, Автомобили / Продажа;Автомагазины, Шиномонтажи, Шины и диски;ежедневно, 08:00–23:00;наличными, банковским переводом;;;https://t.me/bibi_autobot;https://vk.com/bibiauto49;;;;;;1699;4.9;547;55.955168;37.823315
231836430362;Нефтьмагистраль;Москва и Московская область;;Московская область, Богородский городской округ, Ногинск, М-7 Волга, 57-й километр;;8 (800) 700-46-42;;ksbr@neftm.ru, kulesh@neftm.ru, otzyv@neftm.ru, rabota@neftm.ru;https://neftm.ru/;Автомобили / Автосервис, услуги;Автомойки;ежедневно, круглосуточно;наличными, оплата картой, безналичная, онлайн;;;https://t.me/neftmru;https://vk.com/neftm;;https://youtube.com/@neftmagistral;;;;140;4.4;57;55.841852;38.478808
90260427862;Автосервис;Москва и Московская область;;Московская область, Богородский городской округ, село Кудиново;;;+7 (985) 635-78-48;stepvas1974@yandex.ru;https://avtoservis-1645516872.clients.site/;Автомобили / Автосервис, услуги;Автосервисы, Шиномонтажи;ежедневно, 10:00–20:00, перерыв 14:00–15:00;наличными, банковским переводом;79581967513;;;;;;;;;214;5.0;98;55.764227;38.220048
30686567669;Atv Garage;Москва и Московская область;;Московская область, Одинцовский городской округ, деревня Грязь;;;+7 (977) 033-55-23;info@atvgarage.ru;http://www.atvgarage.ru/;Автомобили / Автосервис, услуги, Спорт / Спортивные товары;Автосервисы, Вездеходы, квадроциклы, Ремонт мототехники;ежедневно, 10:00–22:00;;79770335523;;;;;;;;;31;4.8;24;55.738807;36.929603
6108494809;Porogin.ru;Москва и Московская область;;МКАД, 55-й километр, с3, Москва;;;+7 (926) 048-03-30;info@porogin.ru;https://porogin.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары, Автомобили / Продажа;Автоаксессуары, Автомагазины, Автосервисы;ежедневно, 09:00–19:00;;;;;https://vk.com/porogin_ru;;;;;;48;4.4;16;55.72465;37.378003
1219748345;LevMotors Юг;Москва и Московская область;;МКАД, 32-й километр, с1, Москва;142718;+7 (495) 150-70-96;+7 (925) 727-55-50;info@levmotors.ru;https://levmotors.ru/;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автомагазины, Автосервисы;ежедневно, 10:00–20:00;;;;;https://vk.com/club60273058;;;;;;541;4.6;237;55.573812;37.617526
17569196356;Автоматик;Москва и Московская область;;Московская область, Осташковское шоссе, вл14с1;;+7 (495) 136-36-79;;atmmsk@ya.ru, atmmskmap@ya.ru;https://automatic-moskva.ru/?utm_campaign=priority&utm_content=ostashk&utm_medium=maps&utm_source=yandex&utm_term=perehod_iz_profilya;Автомобили / Автосервис, услуги;Автоэвакуаторы, Ремонт АКПП;ежедневно, 07:00–23:00;QR-код, СБП, онлайн, бесконтактная оплата, наличными, постоплата, оплата картой, банковским переводом, безналичная, оплата кредитной картой;79151508841;https://viber.click/79151508841;https://t.me/RemontAKPP;https://vk.com/remont_akpp_automatic;https://ok.ru/group/57864030847193;;;;;34;4.6;3;55.912481;37.668749
1008895059;Автогермес Hyundai;Москва и Московская область;;ш. Энтузиастов, 12А, территория Западная Коммунальная Зона, Балашиха;;+7 (495) 136-05-50;;info@avtogermes.ru;https://www.avtogermes.ru/sale/hyundai/?utm_campaign=spravochnik&utm_medium=cpc&utm_phone=1360700&utm_source=yandex, https://www.avtogermes.ru/ya-map-121/;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автосалоны, Автосервисы, Выкуп авто, Кузовной ремонт;ежедневно, 07:00–21:00;дисконтная система скидок, предоплата, наличными, оплата картой, банковским переводом, рассрочка, безналичная, онлайн, QR-код, СБП, оплата кредитной картой, оформление кредита;74951360555;;https://t.me/avto_germes_new_bot;https://vk.com/avtogermes_ru;;https://www.youtube.com/channel/UCdg_FgRPV2-rwyyYyC2Jprw;;;;6771;5.0;3245;55.788054;37.885894
74251600730;Xl General;Москва и Московская область;;д. Марфино, 19;;+7 (495) 120-33-58;;xl-general@list.ru;http://glass-xl.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары;Автостёкла, Тонировка авто;ежедневно, 09:00–21:00;;;;;https://vk.com/xl.general;;;;;;165;5.0;120;55.70108;37.382097
6132633565;Шинхелп;Москва и Московская область;;село Юдино, 55Е, стр. 1;;;+7 (991) 583-57-25;shinomafia@yandex.ru, shinomafiya@yandex.ru;https://шинхелп.рф/;Автомобили / Автосервис, услуги;Шиномонтажи;ежедневно, круглосуточно;;;;;https://vk.com/shinhelp1;;;;;;239;5.0;194;55.656138;37.178018
1009287605;Трак-Сервис Беседы;Москва и Московская область;;д. Мильково, с48;142717;+7 (495) 660-29-12;+7 (910) 491-39-24;service@truck-service.net;https://truck-service.net/;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автомагазины, Автосервисы;пн-пт 09:00–18:00, перерыв 12:00–13:00;;79104913924;;;;;;;;;295;4.6;91;55.604019;37.789698
90250417963;Шиномонтаж в Нестерово на Уровне;Москва и Московская область;;Совхозная ул., 8, д. Нестерово;;;+7 (965) 298-68-05;anatoliy.svirin.ruza@gmail.com;https://tireservice.turbo.site/;Автомобили / Автосервис, услуги;Шиномонтажи;"пн-сб 09:00–17:30; вс 11:00–17:00";наличными, банковским переводом;;;https://t.me/Anatoliyruza;;;;;;;74;4.8;38;55.622385;36.343636
90136014400;Komar Detailing;Москва и Московская область;;Московская область, городской округ Домодедово, М-4 Дон, 33-й километр, с4к1;142030;;+7 (903) 733-56-21, +7 (925) 410-00-04, +7 (993) 342-42-33, +7 (993) 631-00-63, +7 (993) 889-89-33;komarmb@ya.ru;https://komardetailing.see.ru/;Автомобили / Автосервис, услуги, Автомобили / Продажа, Бытовые услуги / Бытовые услуги;Детейлинг, Кузовной ремонт, Оклейка машин;ежедневно, 10:30–22:30;QR-код, СБП, предоплата, онлайн, оплата картой, оплата кредитной картой, наличными, безналичная, банковским переводом;79254100004;;;;;;;;;58;5.0;34;55.471265;37.750963
89896842282;Шинный центр;Москва и Московская область;;Жуковское ш., 3, село Быково;;;+7 (901) 523-19-84;info@shinvo.ru;http://shinvo.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары, Автомобили / Продажа;Автомагазины, Шиномонтажи, Шины и диски;ежедневно, 09:00–18:00;наличными, оплата картой, банковским переводом;89015231984;https://viber.click/89015231984;;;;;;;;83;4.3;31;55.614133;38.058007
89676545004;TENET Великан Люберцы;Москва и Московская область;;Новорязанское шоссе, 23-й километр, 15А, п. г. т. Томилино;140011;+7 (495) 141-22-91;;info@tenet-lb.ru;https://dealer-tenet.ru/, https://tenet-velikan.ru/;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автосалоны, Автосервисы;ежедневно, 08:00–21:00;оплата кредитной картой, по ссылке, банковским переводом, постоплата, дисконтная система скидок, оформление кредита, оплата картой, QR-код, наличными;;;;;;;;;;12;4.5;10;55.656331;37.906336
37360145721;5 Колесо;Москва и Московская область;;Московская область, Одинцовский городской округ, А-106, 25-й километр;;;+7 (965) 106-76-86;info@5koleso.ru;http://5koleso.moscow/;Автомобили / Автосервис, услуги;Шиномонтажи;ежедневно, круглосуточно;наличными, оплата картой, QR-код;;;https://t.me/shinomontazh_5Koleso;https://vk.com/club231876327;;https://www.youtube.com/channel/UCqIiy5rIdtVKdh-GBwVKjng?si=qb9RFiaQr8kLvvp_;;https://rutube.ru/shorts/e1f3dee59b785f377c9dab0f87eb2c28;;265;4.7;152;55.706502;37.024198
89649181573;МаксАвто;Москва и Московская область;;;;;+7 (926) 353-03-80;autoprofi-istra@mail.ru, maksauto-dedovsk@mail.ru;https://maksauto-profi.ru/;Автомобили / Автосервис, услуги;Автосервисы, Шиномонтажи;ежедневно, 10:00–19:00;;79263530380;;https://t.me/autoremontnahabino;https://vk.com/maksauto_nahabino;;;;;;16;4.3;4;55.842318;37.197491
89554683379;Автобокс Сервис;Москва и Московская область;;143921, Московская область, город Балашиха, деревня Федурново, ул. Авиарембаза ;;;+7 (977) 377-52-50;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, aleksei.marusev@yandex.ru, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com;https://alekseimarusev.wixsite.com/-site;Автомобили / Автосервис, услуги;Автосервисы, Автотехпомощь, Автоэвакуаторы;ежедневно, 10:00–21:00;;79773775250;;;;;;;;;39;4.7;22;55.758644;38.052962
89417966068;ТД Росавтокар;Москва и Московская область;;село Сватково, 201Б;;;+7 (951) 094-40-40;rosavtokar-sp@bk.ru, rosavtokar@bk.ru;https://росавтокар.рф/;Автомобили / Автосервис, услуги, Производство и поставки / Складское и архивное оборудование, Строительство и недвижимость / Строительное оборудование и техника;Автосервисы, Дорожная техника, Складское оборудование;;;;;;;;;;;;0;0.0;0;56.375743;38.206184
6271516645;Автотехцентр БМВ Бумер-Сервис;Москва и Московская область;;территория СОСН Соколовка, 2;;;+7 (926) 270-56-99;boomer-parts@mail.ru;http://www.boomer-service.ru/;Автомобили / Автосервис, услуги;Автосервисы;ежедневно, 10:00–20:00;QR-код, оплата картой, оплата кредитной картой, безналичная, наличными, предоплата;79262705699;;;https://vk.com/bmwsokolovka;;;;;;337;5.0;163;55.773282;37.960731
89361455249;5 Колесо;Москва и Московская область;;д. Грибаново, вл26с1;;;+7 (964) 518-05-46;r.lukin77@yandex.ru;http://5koleso.moscow/;Автомобили / Автосервис, услуги;Шиномонтажи;ежедневно, круглосуточно;наличными, оплата картой;;;https://t.me/shinomontazh_5Koleso;https://vk.com/club231876327;;https://www.youtube.com/channel/UCqIiy5rIdtVKdh-GBwVKjng?si=qb9RFiaQr8kLvvp_;;https://rutube.ru/channel/37170436/;;201;4.1;94;55.738792;37.113391
6277756187;БасТракСервис;Москва и Московская область;;село Белый Раст, 26Б;;;+7 (903) 561-87-52, +7 (968) 777-09-68;priemka@bt-s.ru, zakaz@bt-s.ru;http://www.bt-s.ru/;Автомобили / Автосервис, услуги;Автосервисы;ежедневно, 09:00–21:00;;;;;;;;;;;61;4.6;22;56.131185;37.404654
17584345735;Народный Техосмотр;Москва и Московская область;;д. Пуговичино, территория Промзона Пуговичино, вл2с1;;;+7 (910) 606-18-60;narodniy.tehosmoter@yandex.ru;https://narodniy-tehosmotr.ru/;Автомобили / Автосервис, услуги, Бизнес / Страхование;Автострахование, Пункты техосмотра;ежедневно, 08:00–20:00;наличными, банковским переводом, безналичная;79106061860;;;;;;;;;578;5.0;266;55.526088;37.741181
1012428917;АВТ Трейд, Sdac;Москва и Московская область;;Сходненская ул., 65, корп. 1, д. Чёрная Грязь;;+7 (499) 940-90-47;+7 (916) 942-25-57, +7 (985) 643-71-20;parfenov@avtmotors.ru;http://hino-toyota.ru/;Автомобили / Автосервис, услуги, Автомобили / Продажа, Производство и поставки / Машиностроение;Автомагазины, Автосервисы, Грузовая техника;ежедневно, 08:00–20:00, перерыв 13:00–14:00;наличными, оплата картой, безналичная;79856437120;;;http://vk.com/avt_hino;http://ok.ru/hino.avt;;;;;147;4.6;29;55.97905;37.299103
35820503342;Автобам;Москва и Московская область;;Окское ш., 4, Серпухов;;+7 (495) 255-02-85;;dop@autobam.ru, sever-dop@autobam.ru, sever@autobam.ru, zapad-dop@autobam.ru, zapad@autobam.ru;https://avtobam.ru/, https://www.autobam.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары;Автосервисы, Тонировка авто, Шины и диски;ежедневно, 09:00–19:00;;;;;;;;;;;14;4.1;3;54.915589;37.454281
89098047619;Дэльта;Москва и Московская область;;;;;+7 (985) 525-90-45;vpotiomckin@yandex.ru;https://delta-1731420672.clients.site/;Автомобили / Автосервис, услуги, Транспорт и перевозки / Экспедирование и перевозка грузов;Автоэвакуаторы, Перевозка авто;ежедневно, круглосуточно;наличными, оплата картой, электронными деньгами, банковским переводом, sms-платеж, наложенным платежом;79855259045;;;;;;;;;0;0.0;0;56.041818;37.904611
32425567141;Тюнинг центр 4х4;Москва и Московская область;;ул. Ленина, 28, село Ильинское;143421;+7 (495) 772-11-96;+7 (965) 230-10-61;info@tc4x4.ru;http://tc4x4.ru/;Автомобили / Автосервис, услуги, Спорт / Спортивные товары;Автосервисы, Ремонт мототехники, Тюнинг;пн-пт 09:00–19:00;;79269191196;https://viber.click/79269191196;;https://vk.com/tc4x4;;;;;;95;5.0;33;55.76038;37.242845
1012903103;Интерком-Сервис;Москва и Московская область;;Московская область, Ленинский городской округ, посёлок Совхоза имени Ленина;;+7 (495) 641-41-80, +7 (495) 988-84-28;;in@prof-ics.ru;;Автомобили / Автосервис, услуги, Производство и поставки / Машиностроение;Грузовая техника, Кузовной ремонт;ежедневно, 08:00–20:00;дисконтная система скидок, предоплата, постоплата, наличными, оплата картой, банковским переводом, безналичная, онлайн, QR-код, СБП, оплата кредитной картой, бесконтактная оплата;89857601539;;;;;;;;;280;4.6;84;55.581518;37.71808
52433601703;Бренор;Москва и Московская область;;д. Ярлыково, владение Легат, 2;;+7 (495) 115-19-90, +7 (495) 252-22-42;;d.tygashov@trailerautocenter.ru, info@brenor.ru, servis@trailerautocenter.ru, y.pronenko@trailerautocenter.ru;https://brenor.ru/, https://trailerautocenter.ru/;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автомагазины, Автосервисы;ежедневно, 08:00–20:00;предоплата, постоплата, наличными, оплата картой, банковским переводом, безналичная, оплата кредитной картой, бесконтактная оплата, СБП, QR-код, дисконтная система скидок;;;https://t.me/brenor_ru;https://vk.com/brenor__ru;;https://www.youtube.com/@trailerautocenterru/;;;;171;4.9;90;55.281799;37.859514
89046778559;CarVill Service;Москва и Московская область;;Центральная ул., 30, д. Райки;141142;;+7 (909) 663-22-22;raykiservis@yandex.ru;https://carvill.clients.site/;Автомобили / Автосервис, услуги;Автомойки, Автосервисы, Шиномонтажи;ежедневно, 09:00–20:00;предоплата, постоплата, наличными, оплата картой, банковским переводом, рассрочка, безналичная, онлайн;79096632222;;;https://vk.com/public184532829;;;;;;298;4.5;133;55.92251;38.132406
231953521659;Vkr-magister;Москва и Московская область;;Майская ул., 16, коттеджный посёлок Лосиноостровские Усадьбы;;;+7 (916) 664-66-66;vseposalonu@mail.ru;https://vkr-magister.ru/;Автомобили / Автосервис, услуги;Автоателье;ежедневно, 09:00–22:00;;;;;;;;;;;17;4.4;12;55.880061;37.953264
88986202052;Ремонт гидробортов;Москва и Московская область;;Московская область, городской округ Красногорск, рабочий посёлок Нахабино;;;+7 (925) 815-07-52, +7 (926) 327-51-33;info@dekort.ru, info@lorryservis.ru;http://lorryservis.ru/, http://гидроборт.рус/;Автомобили / Автосервис, услуги, Производство и поставки / Гидравлика и пневматика;Автосервисы, Гидравлика и пневматика;пн-пт 09:00–17:00;предоплата, наличными, банковским переводом;79258150752;https://viber.click/79258150752;;;;;;;;84;4.5;35;55.843537;37.201248
1783609217;БОССервис;Москва и Московская область;;;142715;+7 (495) 795-79-15;;info@bosservice.ru;https://bosservice.ru/;Автомобили / Автосервис, услуги, Автомобили / Продажа, Производство и поставки / Машиностроение;Автомагазины, Производство автозапчастей, Тюнинг;пн-пт 09:00–18:00;наличными, оплата картой, банковским переводом, СБП, оплата кредитной картой;;;;https://vk.com/bosservice;;;;;;5;4.1;1;55.584996;37.739353
